state,district,alt_district_names,GHI_kWhperm2_day,wind_energy_kWhperm2_100m_day,wind_energy_kWhperm2_150m_day,wind_energy_kWhperm2_200m_day,avg_temp_C,min_temp_C,max_temp_C,population_oct25,per_capita_consumption_kWh,total_energy_consumption_district_yearly_MW,dist_to_nearest_substation_km,dist_to_nearest_plant_km,total_area_km2,shrubland_area_km2,Grassland_km2,Cropland_km2,Builtup_km2,vegetation_km2,water_bodies_km2,Herbaceous_km2,Mangroves_km2,snow_ice_km2,moss&lichen_km2
AndamanandNicobar,NicobarIslands,,4.837070873,0.846595316,1.080400286,1.253247747,26.61564024,,,47625,877.5289776,4.770812506,504.4478524,1600.960482,19802.98421,,,,,,,,,,
AndamanandNicobar,NorthandMiddleAndaman,,4.971502993,0.689878784,0.981977108,1.242865433,26.72400823,,,97161,877.5289776,9.73305856,92.39590912,1095.067624,15557.35334,,,,,,,,,,
AndamanandNicobar,SouthAndaman,,4.978335136,0.859377458,1.220976152,1.530626836,26.85743048,,,272823,877.5289776,27.32991875,66.97441344,1192.284782,11223.35153,,,,,,,,,,
AndhraPradesh,Anantapur,"Anantpur,Ananthapur",5.461932413,1.450554621,1.980005853,2.497546276,26.47809001,17.37170164,37.86913735,4364434,1567.228514,780.8293851,9.940136803,117.5116306,19802.98421,4905.171606,580.8656788,12983.61644,322.117393,120.2091623,193.2082032,0.781704761,,,
AndhraPradesh,Chittoor,Chitoor|Chittor,5.343225075,0.974767672,1.323942246,1.65535222,25.73179182,16.9633171,36.63839168,5490612,1567.228514,982.3109232,44.89191873,69.9825108,15557.35334,4329.86958,412.2430374,5926.278356,291.6879866,117.1956486,66.7297892,4.412681567,,,
AndhraPradesh,EastGodavari,,5.073259451,0.792595663,1.103765647,1.407072014,26.67945371,17.83399946,36.38417859,5088724,1567.228514,910.4102003,22.11630199,31.16397771,11223.35153,13.58316539,664.2184257,3067.538912,267.9219265,137.9365915,517.9314493,44.15616586,214.6154977,,
AndhraPradesh,Guntur,,5.18762507,0.948828892,1.387659318,1.839575068,28.05291124,18.37345962,39.56367619,5200641,1567.228514,930.4329758,37.29758098,42.26549983,11855.93855,1554.092031,222.0952741,7714.628669,374.318497,107.0452609,233.0922953,18.92507055,71.62709018,,
AndhraPradesh,Krishna,Kistna,5.148612492,0.929125979,1.341202378,1.760482434,27.92576042,18.76055908,38.61601819,4984341,1567.228514,891.7353128,8.760081974,39.78506544,8961.683246,379.729085,280.5831205,4926.065358,306.3008829,143.9567079,679.0760207,186.4423872,177.5169433,,
AndhraPradesh,Kurnool,,5.356295594,1.177458368,1.650217646,2.123674852,27.33046647,17.93495947,38.41232965,3242230,1567.228514,580.0588249,32.14733844,35.62436708,18400.21203,2242.524363,1424.655646,11686.07527,298.2582484,249.2234667,247.6107421,16.60742941,,,
AndhraPradesh,Nellore,,5.27416387,1.169814654,1.572210259,1.959188008,28.00832246,,,3531408,1567.228514,631.7948988,46.01692729,33.91239782,13406.24876,3186.323822,443.9578797,5493.057356,223.8358939,347.2024199,515.0481345,124.3295364,,,
AndhraPradesh,Prakasam,,5.223754877,1.178698696,1.596964809,2.004827549,27.55138818,18.38618915,39.05064228,3536031,1567.228514,632.6219875,23.82412817,41.32931581,18423.31848,4635.517933,710.3897722,8605.353429,282.8610877,160.0000846,151.9059166,19.60686522,0.433256579,,
AndhraPradesh,Srikakulam,Srikakulum,5.049826312,0.786122402,1.035236159,1.252954107,26.74896654,,,2628342,1567.228514,470.2297406,82.39821251,30.76770693,6597.031977,0.501086232,598.5100061,3046.106106,161.6347366,37.39205631,136.0760966,16.69223781,,,
